district,location,rooms,area,floor,total_floors,area_per_room,actual_price,predicted_price,absolute_error,percentage_error
Yasamal,Yasamal,2.0,50.0,4.0,5.0,25.0,165000.0,157052.66,7947.3399999999965,4.82
Nəsimi,3-cü Mikrorayon,2.0,62.0,10.0,17.0,31.0,186500.0,194378.53,7878.529999999999,4.22
Nizami,8-ci Kilometr,2.0,52.0,13.0,18.0,26.0,162000.0,154224.19,7775.809999999998,4.8
Nəsimi,4-cü Mikrorayon,3.0,61.0,14.0,17.0,20.333333333333332,183500.0,175798.8,7701.200000000012,4.2
Abşeron,Ceyranbatan,2.0,80.0,7.0,9.0,40.0,111500.0,103876.82,7623.179999999993,6.84
Binəqədi,9-cu Mikrorayon,2.0,65.0,1.0,5.0,32.5,179000.0,171421.97,7578.029999999999,4.23
Xəzər,Buzovna,3.0,94.0,5.0,5.0,31.333333333333332,143000.0,135486.24,7513.760000000009,5.25
Səbail,Badamdar,4.0,151.0,2.0,3.0,37.75,380000.0,387493.18,7493.179999999993,1.97
Nəsimi,3-cü Mikrorayon,4.0,101.0,1.0,5.0,25.25,332500.0,325038.54,7461.460000000021,2.24
Binəqədi,Biləcəri,2.0,94.0,5.0,5.0,47.0,165000.0,172339.9,7339.899999999994,4.45
Sabunçu,Zabrat,4.0,106.0,3.0,10.0,26.5,150500.0,143202.43,7297.570000000007,4.85
Suraxanı,Zığ,5.0,118.0,11.0,14.0,23.6,193500.0,200590.66,7090.6600000000035,3.66
Xəzər,Binə,3.0,62.0,2.0,2.0,20.666666666666668,88500.0,81451.24,7048.759999999995,7.96
Binəqədi,9-cu Mikrorayon,3.0,77.0,2.0,5.0,25.666666666666668,211000.0,217961.37,6961.369999999995,3.3
Nizami,8-ci Kilometr,2.0,67.0,1.0,9.0,33.5,174500.0,181407.08,6907.079999999987,3.96
Suraxanı,Zığ,2.0,68.0,7.0,14.0,34.0,114500.0,107598.88,6901.119999999995,6.03
Nizami,8-ci Kilometr,1.0,36.0,2.0,16.0,36.0,120000.0,113120.57,6879.429999999993,5.73
Xətai,Əhmədli,2.0,62.0,13.0,16.0,31.0,157000.0,150251.27,6748.7300000000105,4.3
Qaradağ,Lökbatan,3.0,67.0,12.0,16.0,22.333333333333332,117500.0,110792.1,6707.899999999994,5.71
Binəqədi,7-ci Mikrorayon,2.0,89.0,1.0,5.0,44.5,241000.0,234294.09,6705.9100000000035,2.78
Xətai,Əhmədli,3.0,110.0,5.0,15.0,36.666666666666664,255000.0,261592.41,6592.4100000000035,2.59
Nəsimi,3-cü Mikrorayon,4.0,138.0,6.0,9.0,34.5,390000.0,396531.52,6531.520000000019,1.67
Abşeron,Masazır,2.0,56.0,8.0,10.0,28.0,73500.0,80018.24,6518.240000000005,8.87
Binəqədi,6-cı Mikrorayon,2.0,80.0,5.0,5.0,40.0,198000.0,204470.64,6470.640000000014,3.27
Nizami,8-ci Kilometr,1.0,36.0,4.0,16.0,36.0,120000.0,113559.16,6440.8399999999965,5.37
